DATETIME,N_Cluster,ID_CLUS,LAT,LON,DIST,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
2015-04-29 00:24:08,6,5,-4.69428,-59.52336,178.6736620383452,34,146,SE,22.173179626464844,44.54354756083415
2015-04-29 00:48:14,2,0,-4.712354,-59.829777,173.86003930787498,33,129,SE,22.081418991088867,44.51473161242277
2015-04-29 00:48:14,2,0,-4.6764216,-59.829784,169.90842332623515,35,129,SE,21.928329467773438,44.466388720616834
2015-04-29 00:48:14,2,0,-4.6943765,-59.775707,172.6156375902119,34,132,SE,30.354354858398438,46.725836067890384
2015-04-29 00:48:14,2,0,-4.6943808,-59.79373,172.3489702717696,34,131,SE,29.231416702270508,46.463897780227505
2015-04-29 00:48:14,2,0,-4.694384,-59.811756,172.10501015853282,34,130,SE,26.34225845336914,45.74074805994819
2015-04-29 00:48:14,2,0,-4.694388,-59.82978,171.88413272309631,34,129,SE,22.689294815063477,44.70343592768843
2015-04-29 00:48:14,2,0,-4.676418,-59.81176,170.13191474167493,35,130,SE,22.8499755859375,44.752471802784804
2015-04-29 00:48:14,2,0,-4.712338,-59.757675,174.86948668509493,33,133,SE,39.95167541503906,48.63485990259916
2015-04-29 00:48:14,2,0,-4.7123427,-59.7757,174.58332883614395,33,132,SE,41.92976379394531,48.97065861051304
2015-04-29 00:48:14,2,0,-4.712347,-59.793724,174.31966013371502,33,131,SE,40.729373931884766,48.76882370730428
2015-04-29 00:48:14,2,0,-4.7123504,-59.811752,174.0784601587192,33,130,SE,36.46104431152344,47.99956561250643
2015-04-29 00:48:14,2,0,-4.712333,-59.73965,175.17802042775892,33,134,SE,27.415102005004883,46.01813781468594
2015-04-29 00:48:14,2,1,-4.5147376,-59.93794,151.1906642580962,44,123,SE,24.409015655517578,45.21110421166767
2015-04-29 00:48:14,2,1,-4.5866003,-59.90189,159.33267927225398,40,125,SE,22.055524826049805,44.50657830170745
2015-04-29 00:48:14,2,1,-4.586598,-59.88387,159.4706470302342,40,126,SE,23.948347091674805,45.0787086590294
2015-04-29 00:48:14,2,1,-4.5686355,-59.919914,157.2354525121984,41,124,SE,28.327350616455078,46.24559528439399
2015-04-29 00:48:14,2,1,-4.5686336,-59.901894,157.34984887665865,41,125,SE,31.73262596130371,47.03439615887689
2015-04-29 00:48:14,2,1,-4.5686316,-59.88387,157.48962133516517,41,126,SE,31.27498435974121,46.93345357551746
2015-04-29 00:48:14,2,1,-4.550669,-59.919914,155.25130853636495,42,124,SE,23.285253524780273,44.88359548941476
2015-04-29 00:48:14,2,1,-4.5506654,-59.883873,155.5087389405829,42,126,SE,27.687381744384766,46.08681017512512
2015-04-29 00:48:14,2,1,-4.532703,-59.919918,153.267265288469,43,124,SE,31.489852905273438,46.981030068226985
2015-04-29 00:48:14,2,1,-4.532699,-59.883877,153.5279777714325,43,126,SE,23.762985229492188,45.02471592563863
2015-04-29 00:48:14,2,1,-4.5147367,-59.919918,151.28328319303344,44,124,SE,31.210756301879883,46.919168639138235
2015-04-29 01:00:06,3,0,-4.784222,-59.847786,181.57903156968018,29,128,SE,24.50626564025879,45.23873414571965
2015-04-29 01:00:06,3,0,-4.7123504,-59.811752,174.0784601587192,33,130,SE,37.417362213134766,48.179470645827635
2015-04-29 01:00:06,3,0,-4.712357,-59.8478,173.6643736807457,33,128,SE,28.92327880859375,46.39026034099765
2015-04-29 01:00:06,3,0,-4.7303133,-59.79372,176.29069430597565,32,131,SE,24.2194881439209,45.1569393246244
2015-04-29 01:00:06,3,0,-4.7303166,-59.811745,176.05222631856537,32,130,SE,30.434978485107422,46.74426794192891
2015-04-29 01:00:06,3,0,-4.7303205,-59.829773,175.8362567281187,32,129,SE,46.01935958862305,49.6173490874612
2015-04-29 01:00:06,3,0,-4.7303233,-59.847797,175.6427635924245,32,128,SE,44.356746673583984,49.36165492470538
2015-04-29 01:00:06,3,0,-4.7303286,-59.883846,175.32366690210432,32,126,SE,23.76422882080078,45.0250795639315
2015-04-29 01:00:06,3,0,-4.730326,-59.86582,175.47188968416796,32,127,SE,31.093955993652344,46.89311562996992
2015-04-29 01:00:06,3,0,-4.7482896,-59.847794,177.62134101271673,31,128,SE,24.423147201538086,45.21512598896834
2015-04-29 01:00:06,3,0,-4.766253,-59.829765,179.78933712360748,30,129,SE,24.579118728637695,45.25936087551288
2015-04-29 01:00:06,3,0,-4.766256,-59.84779,179.60012069895433,30,128,SE,27.849815368652344,46.12745708221552
2015-04-29 01:00:06,3,0,-4.7662587,-59.865818,179.43297769019586,30,127,SE,22.507125854492188,44.64742058728011
2015-04-29 01:00:06,3,0,-4.784212,-59.79371,182.20580132346075,29,131,SE,22.447492599487305,44.628985349491956
2015-04-29 01:00:06,3,0,-4.784216,-59.811733,181.97520197691185,29,130,SE,23.676828384399414,44.999476377207074
2015-04-29 01:00:06,3,0,-4.7842193,-59.82976,181.76622894403343,29,129,SE,26.469589233398438,45.77425518516665
2015-04-29 01:00:06,3,0,-4.7482867,-59.82977,177.81266599803476,31,129,SE,24.67538070678711,45.28652174788582
2015-04-29 01:00:06,3,1,-4.604568,-59.91991,161.20390347930336,39,124,SE,22.49106216430664,44.64245941165231
2015-04-29 01:00:06,3,1,-4.60457,-59.955956,161.05492850031945,39,122,SE,26.700075149536133,45.8344996962156
2015-04-29 01:00:06,3,1,-4.6045694,-59.93793,161.11705589118293,39,123,SE,28.028568267822266,46.171914581516454
2015-04-29 01:00:06,3,2,-2.4655666,-61.502533,184.14946046760326,158,36,NW,23.269681930541992,44.878947109078254
2015-04-29 03:48:09,2,0,-4.730113,-60.62289,188.4002346703507,32,85,SW,26.683799743652344,45.83026271989317
2015-04-29 03:48:09,2,0,-4.6043124,-60.676857,178.04216894912668,39,82,SW,21.84469223022461,44.439834841689304
2015-04-29 03:48:09,2,0,-4.6222916,-60.658848,179.00466075987765,38,83,SW,26.551687240600586,45.795773936803734
2015-04-29 03:48:09,2,0,-4.640283,-60.622818,179.2156380057666,37,85,SW,26.580541610717773,45.803321172204036
2015-04-29 03:48:09,2,0,-4.6402707,-60.640842,180.0063540132764,37,84,SW,24.602157592773438,45.26587109438885
2015-04-29 03:48:09,2,0,-4.6402574,-60.658863,180.81553683611756,37,83,SW,23.139524459838867,44.839970829046365
2015-04-29 03:48:09,2,0,-4.640244,-60.676888,181.6433445799877,37,82,SW,34.75035858154297,47.66564860210286
2015-04-29 03:48:09,2,0,-4.658262,-60.60481,180.28245708414784,36,86,SW,23.57990837097168,44.97097376687912
2015-04-29 03:48:09,2,0,-4.6582494,-60.622833,181.04629686693988,36,85,SW,26.73719024658203,45.84415221675671
