DATETIME,N_Cluster,ID_CLUS,LAT,LON,IND_X,IND_Y,T_RELATION,RAIN_FALL,DBz
2014-01-04 17:12:06,18,12,-3.84977,-60.640236,81,84,SW,31.26116371154785,46.93038220945247
2014-01-04 17:12:06,18,13,-3.041192,-59.182377,126,165,NE,22.267038345336914,44.57289926874473
2014-01-04 17:12:06,18,14,-3.0415008,-59.938026,126,123,NE,83.99273681640625,53.798167677070516
2014-01-04 17:12:06,18,15,-3.0952015,-59.34427,123,156,NE,23.34648323059082,44.90184348307372
2014-01-04 17:12:06,18,16,-3.4726934,-60.01,102,119,SW,24.34705352783203,45.1934425255941
2014-01-04 17:12:06,18,17,-3.6161766,-60.694077,94,81,SW,33.1259765625,47.3329990006257
2014-01-04 17:24:15,14,0,-3.9397933,-60.2081,76,108,SW,103.89434814453125,55.27577071772317
2014-01-04 17:24:15,14,1,-4.335006,-60.352333,54,100,SW,42.20490264892578,49.016106402245974
2014-01-04 17:24:15,14,2,-4.1014757,-60.262177,67,105,SW,86.20685577392578,53.97896884211163
2014-01-04 17:24:15,14,3,-3.8678641,-60.40616,80,97,SW,42.777320861816406,49.10971725710187
2014-01-04 17:24:15,14,4,-3.777545,-61.0543,85,61,SW,39.64353942871094,48.58105870770877
2014-01-04 17:24:15,14,5,-3.435713,-61.449886,104,39,SW,24.504457473754883,45.238221424136796
2014-01-04 17:24:15,14,6,-3.0415022,-59.992,126,120,NW,31.241703033447266,46.92605515524767
2014-01-04 17:24:15,14,7,-3.4725294,-60.567978,102,88,SW,53.03411102294922,50.60318465178703
2014-01-04 17:24:15,14,8,-3.508626,-59.974,100,121,SE,46.812217712402344,49.73604741525798
2014-01-04 17:24:15,14,9,-3.7054043,-61.288265,89,48,SW,24.113651275634766,45.12650757240047
2014-01-04 17:24:15,14,10,-3.0054133,-59.416286,128,152,NE,54.90007781982422,50.84346731751598
2014-01-04 17:24:15,14,11,-3.1491103,-59.36223,120,155,SE,39.5023193359375,48.556261484730314
2014-01-04 17:24:15,14,12,-3.5614896,-61.432076,97,40,SW,31.553123474121094,46.994977667643695
2014-01-04 17:24:15,14,13,-3.867724,-60.658253,80,83,SW,23.729385375976562,45.01488378916826
2014-01-04 17:36:14,11,0,-3.525455,-61.50402,99,36,SW,43.751861572265625,49.266244537317235
2014-01-04 17:36:14,11,1,-3.9757216,-60.226116,74,107,SW,96.40107727050781,54.755610150541195
2014-01-04 17:36:14,11,2,-3.0054133,-59.416286,128,152,NE,102.55085754394531,55.18532869820682
2014-01-04 17:36:14,11,3,-2.9516318,-59.70416,131,136,NE,94.81156921386719,54.6400813100287
2014-01-04 17:36:14,11,4,-3.508626,-60.010002,100,119,SW,70.01312255859375,52.53317111587717
2014-01-04 17:36:14,11,5,-4.19127,-60.370285,62,99,SW,44.94289016723633,49.452875914976346
